"","ï..lat","lng","address","dispatch","response_time","calculatedResponse"
"43",47.545,-122.33,"303 South Michigan Street, Seattle, WA 98108, USA","Seattle Medic 28",670,681.135609683271
"44",47.545,-122.325,"6549-6699 7th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",627,640.077237484462
"45",47.545,-122.32,"6417-6427 Flora Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",539,556.050801356668
"46",47.545,-122.315,"1300-1498 South Hardy Street, Seattle, WA 98108, USA","Seattle Medic 28",477,496.850357721176
"47",47.545,-122.31,"7173 Airport Way South, Seattle, WA 98108, USA","Seattle Medic 28",495,514.03758329277
"48",47.545,-122.305,"2201 South Eddy Street, Seattle, WA 98108, USA","Seattle Medic 28",335,361.262244878598
"49",47.545,-122.3,"6412 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",292,320.20387267979
"50",47.545,-122.295,"6407-6411 Shaffer Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",246,276.280962885715
"51",47.545,-122.29,"6401-6417 33rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",218,249.545278663235
"52",47.545,-122.285,"6410 Martin Luther King Junior Way South, Seattle, WA 98118, USA","Seattle Medic 28",167,200.848139543718
"53",47.545,-122.28,"4215-4219 South Eddy Street, Seattle, WA 98118, USA","Seattle Medic 28",101,137.828312447872
"54",47.545,-122.275,"6451-6499 Rainier Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",45,84.3569440029117
"55",47.545,-122.27,"6405-6499 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",124,159.789767344909
"56",47.545,-122.265,"6398 Blair Terrace South, Seattle, WA 98118, USA","Seattle Medic 28",192,224.719286170932
"57",47.545,-122.26,"5764-5798 South Eddy Street, Seattle, WA 98118, USA","Seattle Medic 28",260,289.648804996955
"58",47.55,-122.4,"5704-5900 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32",487,506.398816372062
"59",47.55,-122.395,"5900 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",388,411.869075728293
"60",47.55,-122.39,"5907-5911 45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",267,296.332726052575
"61",47.55,-122.385,"5908 42nd Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",191,223.764440305844
"62",47.55,-122.38,"3750-3798 Southwest Juneau Street, Seattle, WA 98126, USA","Seattle Medic 32",179,212.306289924781
"63",47.55,-122.375,"5900 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",171,204.667523004072
"64",47.55,-122.37,"3001-3101 High Point Drive Southwest, Seattle, WA 98126, USA","Seattle Medic 32",226,257.184045583944
"65",47.55,-122.365,"2519 Southwest Juneau Street, Seattle, WA 98106, USA","Seattle Medic 32",367,391.817312561433
"66",47.55,-122.36,"5765-5903 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",472,492.076128395733
"67",47.55,-122.355,"5701-5827 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",534,551.276572031225
"68",47.55,-122.345,"Duwamish Trail, Seattle, WA 98106, USA","Seattle Medic 32",516,534.08934645963
"69",47.55,-122.34,"5477-5799 Ohio Avenue South, Seattle, WA 98134, USA","Seattle Medic 32",715,724.103673612257
"70",47.55,-122.335,"5907 Washington 99, Seattle, WA 98108, USA","Seattle Medic 32",692,702.14221871522
"71",47.55,-122.33,"5931 4th Avenue South, Seattle, WA 98108, USA","Seattle Medic 32",731,739.381207453674
"72",47.55,-122.325,"705 South Fidalgo Street, Seattle, WA 98108, USA","Seattle Medic 28",665,676.361380357828
"73",47.55,-122.32,"923 South Doris Street, Seattle, WA 98108, USA","Seattle Medic 28",590,604.747940476185
"74",47.55,-122.315,"Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28",799,804.310726279697
"75",47.55,-122.31,"5839 18th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",424,446.243526871482
"76",47.55,-122.305,"5919-5999 22nd Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",321,347.894402767358
"77",47.55,-122.3,"2500-2506 South Juneau Street, Seattle, WA 98108, USA","Seattle Medic 28",310,337.391098251384
"78",47.55,-122.295,"2840-2844 South Juneau Street, Seattle, WA 98108, USA","Seattle Medic 28",308,335.481406521207
"79",47.55,-122.29,"3305-3307 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28",231,261.958274909387
"80",47.55,-122.285,"5814 Renton Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",122,157.880075614732
"81",47.55,-122.28,"4213-4219 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28",50,89.1311733283546
"82",47.55,-122.275,"4606 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28",51,90.0860191934432
"83",47.55,-122.27,"5800-5814 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",115,151.196154559112
"84",47.55,-122.265,"5741 Wilson Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",170,203.712677138984
"85",47.55,-122.26,"5835-5843 Seward Park Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",216,247.635586933058
"86",47.55,-122.255,"Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28",384,408.049692267939
"87",47.55,-122.25,"Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28",472,492.076128395733
"88",47.555,-122.4,"5261 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32",432,453.88229379219
"89",47.555,-122.395,"5266-5290 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",304,331.662023060853
"90",47.555,-122.39,"5254 45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",267,296.332726052575
"91",47.555,-122.385,"5223 41st Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32",164,197.983601948452
"92",47.555,-122.38,"5221 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",121,156.925229749643
"93",47.555,-122.375,"5403 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",149,183.660913972124
"94",47.555,-122.37,"2901-2999 Southwest Brandon Street, Seattle, WA 98106, USA","Seattle Medic 32",257,286.78426740169
"95",47.555,-122.365,"5242-5270 Puget Boulevard Southwest, Seattle, WA 98106, USA","Seattle Medic 32",342,367.946165934218
"96",47.555,-122.36,"5302 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",384,408.049692267939
"97",47.555,-122.355,"5255-5259 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",395,418.552996783913
"98",47.555,-122.35,"5000-5398 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",471,491.121282530645
"99",47.555,-122.345,"5019-5137 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",483,502.579432911707
"100",47.555,-122.34,"5200-5398 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32",650,662.038692381499
"101",47.555,-122.335,"South Bennett Street, Seattle, WA 98134, USA","Seattle Medic 32",712,721.239136016991
"102",47.555,-122.33,"300-374 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 32",741,748.92966610456
"103",47.555,-122.325,"5346 Denver Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",610,623.844857777956
"104",47.555,-122.32,"Corson Avenue South & Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28",625,638.167545754285
"105",47.555,-122.315,"1301-1465 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28",510,528.360271269099
"106",47.555,-122.31,"1718 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28",475,494.940665990999
"107",47.555,-122.305,"2131-2137 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28",368,392.772158426521
"108",47.555,-122.3,"5289 25th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",377,401.365771212319
"109",47.555,-122.295,"2912 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28",312,339.300789981561
"110",47.555,-122.29,"5223 Martin Luther King Junior Way South, Seattle, WA 98118, USA","Seattle Medic 28",200,232.358053091641
"111",47.555,-122.285,"3900 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28",130,165.518842535441
"112",47.555,-122.28,"4215-4221 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28",120,155.970383884555
"113",47.555,-122.275,"4600-4698 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28",157,191.299680892832
"114",47.555,-122.27,"5188-5198 Wilson Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",202,234.267744821818
"115",47.555,-122.265,"5150-5198 55th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",259,288.693959131867
"116",47.555,-122.26,"5201 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28",257,286.78426740169
"117",47.555,-122.255,"Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28",337,363.171936608776
"118",47.555,-122.25,"Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28",414,436.695068220596
"119",47.56,-122.405,"4706 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32",365,389.907620831256
"120",47.56,-122.4,"5266 Southwest Jacobsen Road, Seattle, WA 98116, USA","Seattle Medic 32",325,351.713786227713
"121",47.56,-122.395,"4737-4741 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",232,262.913120774475
"122",47.56,-122.39,"4742 46th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",217,248.590432798147
"123",47.56,-122.385,"4754 42nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",131,166.473688400529
"124",47.56,-122.38,"4736 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",44,83.4020981378232
"125",47.56,-122.375,"4714-4798 35th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",61,99.634477844329
"126",47.56,-122.37,"4734 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",297,324.978102005233
"127",47.56,-122.365,"4735-4737 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",297,324.978102005233
"128",47.56,-122.36,"4721-4743 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",329,355.533169688067
"129",47.56,-122.355,"4700-4746 Puget Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",534,551.276572031225
"130",47.56,-122.35,"4500 Duwamish Trail, Seattle, WA 98106, USA","Seattle Medic 32",454,474.888902824139
"131",47.56,-122.345,"4699 Diagonal Avenue South, Seattle, WA 98134, USA","Seattle Medic 32",696,705.961602175574
"132",47.56,-122.34,"4735-4941 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32",608,621.935166047779
"133",47.56,-122.335,"83-99 South Alaska Street, Seattle, WA 98134, USA","Seattle Medic 32",702,711.690677366105
"134",47.56,-122.33,"4604-4998 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 32",656,667.767767572031
"135",47.56,-122.325,"600-758 South Edmunds Street, Seattle, WA 98108, USA","Seattle Medic 28",646,658.219308921145
"136",47.56,-122.32,"Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28",651,662.993538246588
"137",47.56,-122.315,"1325 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28",529,546.502342705782
"138",47.56,-122.31,"1706 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28",434,455.791985522367
"139",47.56,-122.305,"2314 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28",404,427.14660956971
"140",47.56,-122.3,"2542-2598 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28",384,408.049692267939
"141",47.56,-122.295,"2930 South Edmunds Street, Seattle, WA 98108, USA","Seattle Medic 28",316,343.120173441915
"142",47.56,-122.29,"3411 South Alaska Street, Seattle, WA 98118, USA","Seattle Medic 28",254,283.919729806424
"143",47.56,-122.285,"4751-4765 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",193,225.674132036021
"144",47.56,-122.28,"4715-4721 43rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",196,228.538669631287
"145",47.56,-122.275,"4716 47th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",265,294.423034322398
"146",47.56,-122.27,"4720 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",325,351.713786227713
"147",47.56,-122.265,"4714-4720 54th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",307,334.526560656118
"148",47.56,-122.26,"4807 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28",313,340.25563584665
"149",47.56,-122.255,"Lake Washington Boulevard Trail, Seattle, WA 98118, USA","Seattle Medic 28",330,356.488015553156
"150",47.56,-122.25,"Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28",414,436.695068220596
"151",47.565,-122.41,"4149-4163 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32",434,455.791985522367
"152",47.565,-122.405,"4131 Hillcrest Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",321,347.894402767358
"153",47.565,-122.4,"4146-4398 53rd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",290,318.294180949612
"154",47.565,-122.395,"4157 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",324,350.758940362624
"155",47.565,-122.39,"4153 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",263,292.513342592221
"156",47.565,-122.385,"4227-4399 42nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",231,261.958274909387
"157",47.565,-122.38,"4149 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",119,155.015538019466
"158",47.565,-122.375,"3227-3229 Southwest Genesee Street, Seattle, WA 98126, USA","Seattle Medic 32",197,229.493515496375
"159",47.565,-122.37,"2840 Southwest Genesee Street, Seattle, WA 98126, USA","Seattle Medic 32",184,217.080519250224
"160",47.565,-122.365,"2554-2598 Southwest Genesee Street, Seattle, WA 98106, USA","Seattle Medic 32",218,249.545278663235
"161",47.565,-122.36,"4158 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",406,429.056301299887
"162",47.565,-122.355,"4209 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",466,486.347053205202
"163",47.565,-122.35,"Southwest Idaho Street, Seattle, WA 98106, USA","Seattle Medic 32",462,482.527669744847
"164",47.565,-122.345,"1 South Idaho Street, Seattle, WA 98134, USA","Seattle Medic 32",615,628.619087103399
"165",47.565,-122.34,"4101-4199 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32",632,644.851466809905
"166",47.565,-122.335,"4268-4524 1st Avenue South, Seattle, WA 98134, USA","Seattle Medic 32",642,654.399925460791
"167",47.565,-122.33,"4401 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 32",630,642.941775079728
"168",47.565,-122.325,"617 South Nevada Street, Seattle, WA 98108, USA","Seattle Medic 10",581,596.154327690388
"169",47.565,-122.32,"4250 10th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",586,600.928557015831
"170",47.565,-122.315,"4310 14th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",513,531.224808864365
"171",47.565,-122.31,"1600 South Columbian Way, Seattle, WA 98108, USA","Seattle Medic 28",508,526.450579538922
"172",47.565,-122.305,"4276 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",438,459.611368982722
"173",47.565,-122.3,"4100-4146 Cheasty Boulevard South, Seattle, WA 98108, USA","Seattle Medic 28",496,514.992429157859
"174",47.565,-122.295,"2958-2998 South Genesee Street, Seattle, WA 98108, USA","Seattle Medic 28",367,391.817312561433
"175",47.565,-122.29,"4217 Letitia Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",278,306.83603056855
"176",47.565,-122.285,"4140 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",291,319.249026814701
"177",47.565,-122.28,"4217 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28",293,321.158718544878
"178",47.565,-122.275,"4606-4698 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28",314,341.210481711738
"179",47.565,-122.27,"5001-5099 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28",356,381.314008045458
"180",47.57,-122.41,"3901-3915 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32",488,507.35366223715
"181",47.57,-122.405,"3808 57th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",435,456.746831387456
"182",47.57,-122.4,"3806 53rd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",397,420.46268851409
"183",47.57,-122.395,"3800 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",354,379.404316315281
"184",47.57,-122.39,"3805 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",313,340.25563584665
"185",47.57,-122.385,"4115 Southwest Charlestown Street, Seattle, WA 98116, USA","Seattle Medic 32",246,276.280962885715
"186",47.57,-122.38,"3801 Belvidere Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",195,227.583823766198
"187",47.57,-122.375,"3346-3398 Southwest Charlestown Street, Seattle, WA 98126, USA","Seattle Medic 32",242,272.461579425361
"188",47.57,-122.37,"2938 Southwest Avalon Way, Seattle, WA 98126, USA","Seattle Medic 32",204,236.177436551995
"189",47.57,-122.365,"Southwest Charlestown Street, Seattle, WA 98126, USA","Seattle Medic 32",314,341.210481711738
"190",47.57,-122.36,"3802 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",384,408.049692267939
"191",47.57,-122.355,"3500-3798 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32",376,400.41092534723
"192",47.57,-122.35,"1011 Southwest Klickitat Way, Seattle, WA 98134, USA","Seattle Medic 32",485,504.489124641885
"193",47.57,-122.345,"1129 Southwest Klickitat Way, Seattle, WA 98134, USA","Seattle Medic 32",558,574.19287279335
"194",47.57,-122.34,"3540-3568 East Marginal Way South, Seattle, WA 98134, USA","Seattle Medic 32",493,512.127891562593
"195",47.57,-122.335,"3729 1st Avenue South, Seattle, WA 98134, USA","Seattle Medic 10",574,589.470406634768
"196",47.57,-122.33,"3803 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 10",490,509.263353967327
"197",47.57,-122.325,"611 South Charlestown Street, Seattle, WA 98108, USA","Seattle Medic 10",524,541.728113380339
"198",47.57,-122.32,"Interstate 5, Seattle, WA 98108, USA","Seattle Medic 10",377,401.365771212319
"199",47.57,-122.315,"3720-3726 14th Avenue South, Seattle, WA 98144, USA","Seattle Medic 10",474,493.98582012591
"200",47.57,-122.31,"3701-3751 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",523,540.77326751525
"201",47.57,-122.305,"3801 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28",482,501.624587046619
"202",47.57,-122.3,"3719-3899 Cheasty Boulevard South, Seattle, WA 98108, USA","Seattle Medic 28",456,476.798594554316
"203",47.57,-122.295,"2910 South Charlestown Street, Seattle, WA 98144, USA","Seattle Medic 28",407,430.011147164976
"204",47.57,-122.29,"3656 34th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28",344,369.855857664396
"205",47.57,-122.285,"3718 38th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28",349,374.630086989838
"206",47.57,-122.28,"3807 43rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28",331,357.442861418244
"207",47.57,-122.275,"3813-3899 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28",371,395.636696021787
"208",47.57,-122.27,"4001-4099 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28",382,406.140000537761
"209",47.575,-122.42,"3300 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32",676,686.864684873802
"210",47.575,-122.415,"3228-3232 64th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",602,616.206090857248
"211",47.575,-122.41,"3225 60th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",547,563.689568277376
"212",47.575,-122.405,"3219 57th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",505,523.586041943656
"213",47.575,-122.4,"3056 52nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",521,538.863575785073
"214",47.575,-122.395,"3224 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",401,424.282071974444
"215",47.575,-122.39,"3221 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",427,449.108064466747
"216",47.575,-122.385,"3216-3222 41st Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32",311,338.345944116473
"217",47.575,-122.38,"3219 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",268,297.287571917664
"218",47.575,-122.375,"3318-3348 Southwest Admiral Way, Seattle, WA 98126, USA","Seattle Medic 32",265,294.423034322398
"219",47.575,-122.37,"3115-3171 Harbor Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32",274,303.016647108195
"220",47.575,-122.365,"3201-3295 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",440,461.521060712899
"221",47.575,-122.36,"3527 Chelan Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32",365,389.907620831256
"222",47.575,-122.355,"3233 16th Avenue Southwest, Seattle, WA 98134, USA","Seattle Medic 32",675,685.909839008714
"223",47.575,-122.35,"1099 Southwest Hanford Street, Seattle, WA 98134, USA","Seattle Medic 32",688,698.322835254865
"224",47.575,-122.345,"1099 Southwest Hanford Street, Seattle, WA 98134, USA","Seattle Medic 32",688,698.322835254865
"225",47.575,-122.34,"3245-3267 East Marginal Way South, Seattle, WA 98134, USA","Seattle Medic 10",579,594.244635960211
"226",47.575,-122.335,"3201 Utah Avenue South, Seattle, WA 98134, USA","Seattle Medic 10",523,540.77326751525
"227",47.575,-122.33,"3223 3rd Avenue South, Seattle, WA 98134, USA","Seattle Medic 10",447,468.204981768519
"228",47.575,-122.325,"3201-3223 6th Avenue South, Seattle, WA 98134, USA","Seattle Medic 10",452,472.979211093962
"229",47.575,-122.32,"Interstate 5, Seattle, WA 98134, USA","Seattle Medic 10",714,723.148827747168
"230",47.575,-122.315,"3200-3242 14th Avenue South, Seattle, WA 98144, USA","Seattle Medic 10",548,564.644414142465
"231",47.575,-122.31,"1712-1716 South Hanford Street, Seattle, WA 98144, USA","Seattle Medic 10",588,602.838248746008
"232",47.575,-122.305,"2113 South Hanford Street, Seattle, WA 98144, USA","Seattle Medic 10",620,633.393316428842
