"lat","lng","address","dispatch","response_time"
"47.545","-122.38000000000005","6351 37th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","247"
"47.545","-122.37500000000006","6350 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","215"
"47.545","-122.37000000000006","2900-2998 30th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","285"
"47.545","-122.36500000000007","6332 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","438"
"47.545","-122.36000000000007","6349 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","465"
"47.545","-122.35500000000008","6175-6233 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","489"
"47.545","-122.35000000000008","1500 Southwest Morgan Street, Seattle, WA 98106, USA","Seattle Medic 32","574"
"47.545","-122.34500000000008","6100-6644 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","539"
"47.545","-122.34000000000009","400 Southwest Front Street, Seattle, WA 98106, USA","Seattle Medic 32","601"
"47.545","-122.3350000000001","6371-6399 1st Avenue South, Seattle, WA 98108, USA","Seattle Medic 32","742"
"47.545","-122.3300000000001","303 South Michigan Street, Seattle, WA 98108, USA","Seattle Medic 28","670"
"47.545","-122.3250000000001","6549-6699 7th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","627"
"47.545","-122.3200000000001","6417-6427 Flora Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","539"
"47.545","-122.31500000000011","1300-1498 South Hardy Street, Seattle, WA 98108, USA","Seattle Medic 28","477"
"47.545","-122.31000000000012","7173 Airport Way South, Seattle, WA 98108, USA","Seattle Medic 28","495"
"47.545","-122.30500000000012","2201 South Eddy Street, Seattle, WA 98108, USA","Seattle Medic 28","335"
"47.545","-122.30000000000013","6412 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","292"
"47.545","-122.29500000000013","6407-6411 Shaffer Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","246"
"47.545","-122.29000000000013","6401-6417 33rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","218"
"47.545","-122.28500000000014","6410 Martin Luther King Junior Way South, Seattle, WA 98118, USA","Seattle Medic 28","167"
"47.545","-122.28000000000014","4215-4219 South Eddy Street, Seattle, WA 98118, USA","Seattle Medic 28","101"
"47.545","-122.27500000000015","6451-6499 Rainier Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","45"
"47.545","-122.27000000000015","6405-6499 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","124"
"47.545","-122.26500000000016","6398 Blair Terrace South, Seattle, WA 98118, USA","Seattle Medic 28","192"
"47.545","-122.26000000000016","5764-5798 South Eddy Street, Seattle, WA 98118, USA","Seattle Medic 28","260"
"47.550000000000004","-122.40000000000003","5704-5900 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32","487"
"47.550000000000004","-122.39500000000004","5900 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","388"
"47.550000000000004","-122.39000000000004","5907-5911 45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","267"
"47.550000000000004","-122.38500000000005","5908 42nd Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","191"
"47.550000000000004","-122.38000000000005","3750-3798 Southwest Juneau Street, Seattle, WA 98126, USA","Seattle Medic 32","179"
"47.550000000000004","-122.37500000000006","5900 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","171"
"47.550000000000004","-122.37000000000006","3001-3101 High Point Drive Southwest, Seattle, WA 98126, USA","Seattle Medic 32","226"
"47.550000000000004","-122.36500000000007","2519 Southwest Juneau Street, Seattle, WA 98106, USA","Seattle Medic 32","367"
"47.550000000000004","-122.36000000000007","5765-5903 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","472"
"47.550000000000004","-122.35500000000008","5701-5827 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","534"
"47.550000000000004","-122.34500000000008","Duwamish Trail, Seattle, WA 98106, USA","Seattle Medic 32","516"
"47.550000000000004","-122.34000000000009","5477-5799 Ohio Avenue South, Seattle, WA 98134, USA","Seattle Medic 32","715"
"47.550000000000004","-122.3350000000001","5907 Washington 99, Seattle, WA 98108, USA","Seattle Medic 32","692"
"47.550000000000004","-122.3300000000001","5931 4th Avenue South, Seattle, WA 98108, USA","Seattle Medic 32","731"
"47.550000000000004","-122.3250000000001","705 South Fidalgo Street, Seattle, WA 98108, USA","Seattle Medic 28","665"
"47.550000000000004","-122.3200000000001","923 South Doris Street, Seattle, WA 98108, USA","Seattle Medic 28","590"
"47.550000000000004","-122.31500000000011","Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28","799"
"47.550000000000004","-122.31000000000012","5839 18th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","424"
"47.550000000000004","-122.30500000000012","5919-5999 22nd Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","321"
"47.550000000000004","-122.30000000000013","2500-2506 South Juneau Street, Seattle, WA 98108, USA","Seattle Medic 28","310"
"47.550000000000004","-122.29500000000013","2840-2844 South Juneau Street, Seattle, WA 98108, USA","Seattle Medic 28","308"
"47.550000000000004","-122.29000000000013","3305-3307 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28","231"
"47.550000000000004","-122.28500000000014","5814 Renton Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","122"
"47.550000000000004","-122.28000000000014","4213-4219 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28","50"
"47.550000000000004","-122.27500000000015","4606 South Juneau Street, Seattle, WA 98118, USA","Seattle Medic 28","51"
"47.550000000000004","-122.27000000000015","5800-5814 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","115"
"47.550000000000004","-122.26500000000016","5741 Wilson Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","170"
"47.550000000000004","-122.26000000000016","5835-5843 Seward Park Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","216"
"47.550000000000004","-122.25500000000017","Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28","384"
"47.550000000000004","-122.25000000000017","Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28","472"
"47.55500000000001","-122.40000000000003","5261 Beach Drive Southwest, Seattle, WA 98136, USA","Seattle Medic 32","432"
"47.55500000000001","-122.39500000000004","5266-5290 49th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","304"
"47.55500000000001","-122.39000000000004","5254 45th Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","267"
"47.55500000000001","-122.38500000000005","5223 41st Avenue Southwest, Seattle, WA 98136, USA","Seattle Medic 32","164"
"47.55500000000001","-122.38000000000005","5221 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","121"
"47.55500000000001","-122.37500000000006","5403 34th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","149"
"47.55500000000001","-122.37000000000006","2901-2999 Southwest Brandon Street, Seattle, WA 98106, USA","Seattle Medic 32","257"
"47.55500000000001","-122.36500000000007","5242-5270 Puget Boulevard Southwest, Seattle, WA 98106, USA","Seattle Medic 32","342"
"47.55500000000001","-122.36000000000007","5302 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","384"
"47.55500000000001","-122.35500000000008","5255-5259 16th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","395"
"47.55500000000001","-122.35000000000008","5000-5398 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","471"
"47.55500000000001","-122.34500000000008","5019-5137 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","483"
"47.55500000000001","-122.34000000000009","5200-5398 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32","650"
"47.55500000000001","-122.3350000000001","South Bennett Street, Seattle, WA 98134, USA","Seattle Medic 32","712"
"47.55500000000001","-122.3300000000001","300-374 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 32","741"
"47.55500000000001","-122.3250000000001","5346 Denver Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","610"
"47.55500000000001","-122.3200000000001","Corson Avenue South & Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28","625"
"47.55500000000001","-122.31500000000011","1301-1465 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28","510"
"47.55500000000001","-122.31000000000012","1718 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28","475"
"47.55500000000001","-122.30500000000012","2131-2137 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28","368"
"47.55500000000001","-122.30000000000013","5289 25th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","377"
"47.55500000000001","-122.29500000000013","2912 South Bennett Street, Seattle, WA 98108, USA","Seattle Medic 28","312"
"47.55500000000001","-122.29000000000013","5223 Martin Luther King Junior Way South, Seattle, WA 98118, USA","Seattle Medic 28","200"
"47.55500000000001","-122.28500000000014","3900 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28","130"
"47.55500000000001","-122.28000000000014","4215-4221 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28","120"
"47.55500000000001","-122.27500000000015","4600-4698 South Dawson Street, Seattle, WA 98118, USA","Seattle Medic 28","157"
"47.55500000000001","-122.27000000000015","5188-5198 Wilson Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","202"
"47.55500000000001","-122.26500000000016","5150-5198 55th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","259"
"47.55500000000001","-122.26000000000016","5201 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28","257"
"47.55500000000001","-122.25500000000017","Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28","337"
"47.55500000000001","-122.25000000000017","Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28","414"
"47.56000000000001","-122.40500000000003","4706 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32","365"
"47.56000000000001","-122.40000000000003","5266 Southwest Jacobsen Road, Seattle, WA 98116, USA","Seattle Medic 32","325"
"47.56000000000001","-122.39500000000004","4737-4741 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","232"
"47.56000000000001","-122.39000000000004","4742 46th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","217"
"47.56000000000001","-122.38500000000005","4754 42nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","131"
"47.56000000000001","-122.38000000000005","4736 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","44"
"47.56000000000001","-122.37500000000006","4714-4798 35th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","61"
"47.56000000000001","-122.37000000000006","4734 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","297"
"47.56000000000001","-122.36500000000007","4735-4737 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","297"
"47.56000000000001","-122.36000000000007","4721-4743 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","329"
"47.56000000000001","-122.35500000000008","4700-4746 Puget Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","534"
"47.56000000000001","-122.35000000000008","4500 Duwamish Trail, Seattle, WA 98106, USA","Seattle Medic 32","454"
"47.56000000000001","-122.34500000000008","4699 Diagonal Avenue South, Seattle, WA 98134, USA","Seattle Medic 32","696"
"47.56000000000001","-122.34000000000009","4735-4941 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32","608"
"47.56000000000001","-122.3350000000001","83-99 South Alaska Street, Seattle, WA 98134, USA","Seattle Medic 32","702"
"47.56000000000001","-122.3300000000001","4604-4998 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 32","656"
"47.56000000000001","-122.3250000000001","600-758 South Edmunds Street, Seattle, WA 98108, USA","Seattle Medic 28","646"
"47.56000000000001","-122.3200000000001","Interstate 5, Seattle, WA 98108, USA","Seattle Medic 28","651"
"47.56000000000001","-122.31500000000011","1325 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28","529"
"47.56000000000001","-122.31000000000012","1706 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28","434"
"47.56000000000001","-122.30500000000012","2314 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28","404"
"47.56000000000001","-122.30000000000013","2542-2598 South Angeline Street, Seattle, WA 98108, USA","Seattle Medic 28","384"
"47.56000000000001","-122.29500000000013","2930 South Edmunds Street, Seattle, WA 98108, USA","Seattle Medic 28","316"
"47.56000000000001","-122.29000000000013","3411 South Alaska Street, Seattle, WA 98118, USA","Seattle Medic 28","254"
"47.56000000000001","-122.28500000000014","4751-4765 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","193"
"47.56000000000001","-122.28000000000014","4715-4721 43rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","196"
"47.56000000000001","-122.27500000000015","4716 47th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","265"
"47.56000000000001","-122.27000000000015","4720 51st Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","325"
"47.56000000000001","-122.26500000000016","4714-4720 54th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","307"
"47.56000000000001","-122.26000000000016","4807 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28","313"
"47.56000000000001","-122.25500000000017","Lake Washington Boulevard Trail, Seattle, WA 98118, USA","Seattle Medic 28","330"
"47.56000000000001","-122.25000000000017","Seward Park Road, Seattle, WA 98118, USA","Seattle Medic 28","414"
"47.56500000000001","-122.41000000000003","4149-4163 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32","434"
"47.56500000000001","-122.40500000000003","4131 Hillcrest Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","321"
"47.56500000000001","-122.40000000000003","4146-4398 53rd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","290"
"47.56500000000001","-122.39500000000004","4157 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","324"
"47.56500000000001","-122.39000000000004","4153 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","263"
"47.56500000000001","-122.38500000000005","4227-4399 42nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","231"
"47.56500000000001","-122.38000000000005","4149 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","119"
"47.56500000000001","-122.37500000000006","3227-3229 Southwest Genesee Street, Seattle, WA 98126, USA","Seattle Medic 32","197"
"47.56500000000001","-122.37000000000006","2840 Southwest Genesee Street, Seattle, WA 98126, USA","Seattle Medic 32","184"
"47.56500000000001","-122.36500000000007","2554-2598 Southwest Genesee Street, Seattle, WA 98106, USA","Seattle Medic 32","218"
"47.56500000000001","-122.36000000000007","4158 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","406"
"47.56500000000001","-122.35500000000008","4209 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","466"
"47.56500000000001","-122.35000000000008","Southwest Idaho Street, Seattle, WA 98106, USA","Seattle Medic 32","462"
"47.56500000000001","-122.34500000000008","1 South Idaho Street, Seattle, WA 98134, USA","Seattle Medic 32","615"
"47.56500000000001","-122.34000000000009","4101-4199 Washington 99, Seattle, WA 98134, USA","Seattle Medic 32","632"
"47.56500000000001","-122.3350000000001","4268-4524 1st Avenue South, Seattle, WA 98134, USA","Seattle Medic 32","642"
"47.56500000000001","-122.3300000000001","4401 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 32","630"
"47.56500000000001","-122.3250000000001","617 South Nevada Street, Seattle, WA 98108, USA","Seattle Medic 10","581"
"47.56500000000001","-122.3200000000001","4250 10th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","586"
"47.56500000000001","-122.31500000000011","4310 14th Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","513"
"47.56500000000001","-122.31000000000012","1600 South Columbian Way, Seattle, WA 98108, USA","Seattle Medic 28","508"
"47.56500000000001","-122.30500000000012","4276 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","438"
"47.56500000000001","-122.30000000000013","4100-4146 Cheasty Boulevard South, Seattle, WA 98108, USA","Seattle Medic 28","496"
"47.56500000000001","-122.29500000000013","2958-2998 South Genesee Street, Seattle, WA 98108, USA","Seattle Medic 28","367"
"47.56500000000001","-122.29000000000013","4217 Letitia Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","278"
"47.56500000000001","-122.28500000000014","4140 38th Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","291"
"47.56500000000001","-122.28000000000014","4217 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28","293"
"47.56500000000001","-122.27500000000015","4606-4698 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28","314"
"47.56500000000001","-122.27000000000015","5001-5099 South Adams Street, Seattle, WA 98118, USA","Seattle Medic 28","356"
"47.570000000000014","-122.41000000000003","3901-3915 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32","488"
"47.570000000000014","-122.40500000000003","3808 57th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","435"
"47.570000000000014","-122.40000000000003","3806 53rd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","397"
"47.570000000000014","-122.39500000000004","3800 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","354"
"47.570000000000014","-122.39000000000004","3805 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","313"
"47.570000000000014","-122.38500000000005","4115 Southwest Charlestown Street, Seattle, WA 98116, USA","Seattle Medic 32","246"
"47.570000000000014","-122.38000000000005","3801 Belvidere Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","195"
"47.570000000000014","-122.37500000000006","3346-3398 Southwest Charlestown Street, Seattle, WA 98126, USA","Seattle Medic 32","242"
"47.570000000000014","-122.37000000000006","2938 Southwest Avalon Way, Seattle, WA 98126, USA","Seattle Medic 32","204"
"47.570000000000014","-122.36500000000007","Southwest Charlestown Street, Seattle, WA 98126, USA","Seattle Medic 32","314"
"47.570000000000014","-122.36000000000007","3802 21st Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","384"
"47.570000000000014","-122.35500000000008","3500-3798 West Marginal Way Southwest, Seattle, WA 98106, USA","Seattle Medic 32","376"
"47.570000000000014","-122.35000000000008","1011 Southwest Klickitat Way, Seattle, WA 98134, USA","Seattle Medic 32","485"
"47.570000000000014","-122.34500000000008","1129 Southwest Klickitat Way, Seattle, WA 98134, USA","Seattle Medic 32","558"
"47.570000000000014","-122.34000000000009","3540-3568 East Marginal Way South, Seattle, WA 98134, USA","Seattle Medic 32","493"
"47.570000000000014","-122.3350000000001","3729 1st Avenue South, Seattle, WA 98134, USA","Seattle Medic 10","574"
"47.570000000000014","-122.3300000000001","3803 4th Avenue South, Seattle, WA 98134, USA","Seattle Medic 10","490"
"47.570000000000014","-122.3250000000001","611 South Charlestown Street, Seattle, WA 98108, USA","Seattle Medic 10","524"
"47.570000000000014","-122.3200000000001","Interstate 5, Seattle, WA 98108, USA","Seattle Medic 10","377"
"47.570000000000014","-122.31500000000011","3720-3726 14th Avenue South, Seattle, WA 98144, USA","Seattle Medic 10","474"
"47.570000000000014","-122.31000000000012","3701-3751 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","523"
"47.570000000000014","-122.30500000000012","3801 Beacon Avenue South, Seattle, WA 98108, USA","Seattle Medic 28","482"
"47.570000000000014","-122.30000000000013","3719-3899 Cheasty Boulevard South, Seattle, WA 98108, USA","Seattle Medic 28","456"
"47.570000000000014","-122.29500000000013","2910 South Charlestown Street, Seattle, WA 98144, USA","Seattle Medic 28","407"
"47.570000000000014","-122.29000000000013","3656 34th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28","344"
"47.570000000000014","-122.28500000000014","3718 38th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28","349"
"47.570000000000014","-122.28000000000014","3807 43rd Avenue South, Seattle, WA 98118, USA","Seattle Medic 28","331"
"47.570000000000014","-122.27500000000015","3813-3899 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28","371"
"47.570000000000014","-122.27000000000015","4001-4099 Lake Washington Boulevard South, Seattle, WA 98118, USA","Seattle Medic 28","382"
"47.57500000000002","-122.42000000000002","3300 Beach Drive Southwest, Seattle, WA 98116, USA","Seattle Medic 32","676"
"47.57500000000002","-122.41500000000002","3228-3232 64th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","602"
"47.57500000000002","-122.41000000000003","3225 60th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","547"
"47.57500000000002","-122.40500000000003","3219 57th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","505"
"47.57500000000002","-122.40000000000003","3056 52nd Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","521"
"47.57500000000002","-122.39500000000004","3224 49th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","401"
"47.57500000000002","-122.39000000000004","3221 45th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","427"
"47.57500000000002","-122.38500000000005","3216-3222 41st Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","311"
"47.57500000000002","-122.38000000000005","3219 38th Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","268"
"47.57500000000002","-122.37500000000006","3318-3348 Southwest Admiral Way, Seattle, WA 98126, USA","Seattle Medic 32","265"
"47.57500000000002","-122.37000000000006","3115-3171 Harbor Avenue Southwest, Seattle, WA 98126, USA","Seattle Medic 32","274"
"47.57500000000002","-122.36500000000007","3201-3295 26th Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","440"
"47.57500000000002","-122.36000000000007","3527 Chelan Avenue Southwest, Seattle, WA 98106, USA","Seattle Medic 32","365"
"47.57500000000002","-122.35500000000008","3233 16th Avenue Southwest, Seattle, WA 98134, USA","Seattle Medic 32","675"
"47.57500000000002","-122.35000000000008","1099 Southwest Hanford Street, Seattle, WA 98134, USA","Seattle Medic 32","688"
"47.57500000000002","-122.34500000000008","1099 Southwest Hanford Street, Seattle, WA 98134, USA","Seattle Medic 32","688"
"47.57500000000002","-122.34000000000009","3245-3267 East Marginal Way South, Seattle, WA 98134, USA","Seattle Medic 10","579"
"47.57500000000002","-122.3350000000001","3201 Utah Avenue South, Seattle, WA 98134, USA","Seattle Medic 10","523"
"47.57500000000002","-122.3300000000001","3223 3rd Avenue South, Seattle, WA 98134, USA","Seattle Medic 10","447"
"47.57500000000002","-122.3250000000001","3201-3223 6th Avenue South, Seattle, WA 98134, USA","Seattle Medic 10","452"
"47.57500000000002","-122.3200000000001","Interstate 5, Seattle, WA 98134, USA","Seattle Medic 10","714"
"47.57500000000002","-122.31500000000011","3200-3242 14th Avenue South, Seattle, WA 98144, USA","Seattle Medic 10","548"
"47.57500000000002","-122.31000000000012","1712-1716 South Hanford Street, Seattle, WA 98144, USA","Seattle Medic 10","588"
"47.57500000000002","-122.30500000000012","2113 South Hanford Street, Seattle, WA 98144, USA","Seattle Medic 10","620"
"47.57500000000002","-122.30000000000013","3199 25th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28","503"
"47.57500000000002","-122.29500000000013","3206 Rainier Avenue South, Seattle, WA 98144, USA","Seattle Medic 28","429"
"47.57500000000002","-122.29000000000013","3201-3211 34th Avenue South, Seattle, WA 98144, USA","Seattle Medic 28","439"
"47.57500000000002","-122.28500000000014","3201 Hunter Boulevard South, Seattle, WA 98144, USA","Seattle Medic 28","418"
"47.57500000000002","-122.28000000000014","2721-3279 Lake Washington Boulevard South, Seattle, WA 98144, USA","Seattle Medic 28","388"
"47.58000000000002","-122.41000000000003","2701-2715 Alki Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","646"
"47.58000000000002","-122.40500000000003","2538-2542 57th Avenue Southwest, Seattle, WA 98116, USA","Seattle Medic 32","578"
"47.58000000000002","-122.40000000000003","5305 Southwest Pritchard Street, Seattle, WA 98116, USA","Seattle Medic 32","576"
